startTime,actual_MW,forecast_MW,forecastPublishTime,horizonHours
2025-09-30T23:00:00Z,7114,8353,2025-09-29T19:30:00Z,27.5
2025-09-30T23:30:00Z,7097,8810,2025-09-29T23:30:00Z,24
2025-10-01T00:00:00Z,7109,8810,2025-09-29T23:30:00Z,24.5
2025-10-01T00:30:00Z,7380,9087,2025-09-29T23:30:00Z,25
2025-10-01T01:00:00Z,7472,9087,2025-09-29T23:30:00Z,25.5
2025-10-01T01:30:00Z,7324,9302,2025-09-29T23:30:00Z,26
2025-10-01T02:00:00Z,7328,9302,2025-09-29T23:30:00Z,26.5
2025-10-01T02:30:00Z,7283,9447,2025-09-29T23:30:00Z,27
2025-10-01T03:00:00Z,7221,9447,2025-09-29T23:30:00Z,27.5
2025-10-01T03:30:00Z,7110,9447,2025-09-30T03:30:00Z,24
2025-10-01T04:00:00Z,7162,9447,2025-09-30T03:30:00Z,24.5
2025-10-01T04:30:00Z,7163,9436,2025-09-30T03:30:00Z,25
2025-10-01T05:00:00Z,7411,9436,2025-09-30T03:30:00Z,25.5
2025-10-01T05:30:00Z,7480,9267,2025-09-30T05:30:00Z,24
2025-10-01T06:00:00Z,7286,9267,2025-09-30T05:30:00Z,24.5
2025-10-01T06:30:00Z,7193,9205,2025-09-30T05:30:00Z,25
2025-10-01T07:00:00Z,7015,9205,2025-09-30T05:30:00Z,25.5
2025-10-01T07:30:00Z,6976,9161,2025-09-30T05:30:00Z,26
2025-10-01T08:00:00Z,6791,9161,2025-09-30T05:30:00Z,26.5
2025-10-01T08:30:00Z,6709,9309,2025-09-30T08:30:00Z,24
2025-10-01T09:00:00Z,6676,9309,2025-09-30T08:30:00Z,24.5
2025-10-01T09:30:00Z,6650,9001,2025-09-30T08:30:00Z,25
2025-10-01T10:00:00Z,6665,9001,2025-09-30T08:30:00Z,25.5
2025-10-01T10:30:00Z,6997,8820,2025-09-30T10:30:00Z,24
2025-10-01T11:00:00Z,7819,8820,2025-09-30T10:30:00Z,24.5
2025-10-01T11:30:00Z,8024,8667,2025-09-30T10:30:00Z,25
2025-10-01T12:00:00Z,7901,8667,2025-09-30T10:30:00Z,25.5
2025-10-01T12:30:00Z,7911,8885,2025-09-30T12:30:00Z,24
2025-10-01T13:00:00Z,7689,8885,2025-09-30T12:30:00Z,24.5
2025-10-01T13:30:00Z,7671,8744,2025-09-30T12:30:00Z,25
2025-10-01T14:00:00Z,7421,8744,2025-09-30T12:30:00Z,25.5
2025-10-01T14:30:00Z,7406,8580,2025-09-30T12:30:00Z,26
2025-10-01T15:00:00Z,7459,8580,2025-09-30T12:30:00Z,26.5
2025-10-01T15:30:00Z,7450,8545,2025-09-30T12:30:00Z,27
2025-10-01T16:00:00Z,7766,8545,2025-09-30T12:30:00Z,27.5
2025-10-01T16:30:00Z,7645,8973,2025-09-30T16:30:00Z,24
2025-10-01T17:00:00Z,7682,8973,2025-09-30T16:30:00Z,24.5
2025-10-01T17:30:00Z,7875,9484,2025-09-30T16:30:00Z,25
2025-10-01T18:00:00Z,7892,9484,2025-09-30T16:30:00Z,25.5
2025-10-01T18:30:00Z,8044,9968,2025-09-30T16:30:00Z,26
2025-10-01T19:00:00Z,7998,9968,2025-09-30T16:30:00Z,26.5
