startTime,actual_MW,forecast_MW,forecastPublishTime,horizonHours
2025-09-30T23:00:00Z,7114,9213,2025-09-30T16:30:00Z,6.5
2025-09-30T23:30:00Z,7097,10033,2025-09-30T19:30:00Z,4
2025-10-01T00:00:00Z,7109,10033,2025-09-30T19:30:00Z,4.5
2025-10-01T00:30:00Z,7380,10112,2025-09-30T19:30:00Z,5
2025-10-01T01:00:00Z,7472,10112,2025-09-30T19:30:00Z,5.5
2025-10-01T01:30:00Z,7324,9948,2025-09-30T19:30:00Z,6
2025-10-01T02:00:00Z,7328,9948,2025-09-30T19:30:00Z,6.5
2025-10-01T02:30:00Z,7283,9796,2025-09-30T19:30:00Z,7
2025-10-01T03:00:00Z,7221,9796,2025-09-30T19:30:00Z,7.5
2025-10-01T03:30:00Z,7110,10890,2025-09-30T23:30:00Z,4
2025-10-01T04:00:00Z,7162,10890,2025-09-30T23:30:00Z,4.5
2025-10-01T04:30:00Z,7163,10728,2025-09-30T23:30:00Z,5
2025-10-01T05:00:00Z,7411,10728,2025-09-30T23:30:00Z,5.5
2025-10-01T05:30:00Z,7480,10477,2025-09-30T23:30:00Z,6
2025-10-01T06:00:00Z,7286,10477,2025-09-30T23:30:00Z,6.5
2025-10-01T06:30:00Z,7193,10288,2025-09-30T23:30:00Z,7
2025-10-01T07:00:00Z,7015,10288,2025-09-30T23:30:00Z,7.5
2025-10-01T07:30:00Z,6976,10637,2025-10-01T03:30:00Z,4
2025-10-01T08:00:00Z,6791,10637,2025-10-01T03:30:00Z,4.5
2025-10-01T08:30:00Z,6709,10741,2025-10-01T03:30:00Z,5
2025-10-01T09:00:00Z,6676,10741,2025-10-01T03:30:00Z,5.5
2025-10-01T09:30:00Z,6650,10788,2025-10-01T05:30:00Z,4
2025-10-01T10:00:00Z,6665,10788,2025-10-01T05:30:00Z,4.5
2025-10-01T10:30:00Z,6997,10472,2025-10-01T05:30:00Z,5
2025-10-01T11:00:00Z,7819,10472,2025-10-01T05:30:00Z,5.5
2025-10-01T11:30:00Z,8024,9970,2025-10-01T05:30:00Z,6
2025-10-01T12:00:00Z,7901,9970,2025-10-01T05:30:00Z,6.5
2025-10-01T12:30:00Z,7911,8902,2025-10-01T08:30:00Z,4
2025-10-01T13:00:00Z,7689,8902,2025-10-01T08:30:00Z,4.5
2025-10-01T13:30:00Z,7671,8356,2025-10-01T08:30:00Z,5
2025-10-01T14:00:00Z,7421,8356,2025-10-01T08:30:00Z,5.5
2025-10-01T14:30:00Z,7406,8204,2025-10-01T10:30:00Z,4
2025-10-01T15:00:00Z,7459,8204,2025-10-01T10:30:00Z,4.5
2025-10-01T15:30:00Z,7450,8346,2025-10-01T10:30:00Z,5
2025-10-01T16:00:00Z,7766,8346,2025-10-01T10:30:00Z,5.5
2025-10-01T16:30:00Z,7645,9206,2025-10-01T12:30:00Z,4
2025-10-01T17:00:00Z,7682,9206,2025-10-01T12:30:00Z,4.5
2025-10-01T17:30:00Z,7875,9576,2025-10-01T12:30:00Z,5
2025-10-01T18:00:00Z,7892,9576,2025-10-01T12:30:00Z,5.5
2025-10-01T18:30:00Z,8044,9803,2025-10-01T12:30:00Z,6
2025-10-01T19:00:00Z,7998,9803,2025-10-01T12:30:00Z,6.5
2025-10-01T19:30:00Z,8245,10061,2025-10-01T12:30:00Z,7
2025-10-01T20:00:00Z,8660,10061,2025-10-01T12:30:00Z,7.5
2025-10-01T20:30:00Z,9092,10755,2025-10-01T16:30:00Z,4
2025-10-01T21:00:00Z,9340,10755,2025-10-01T16:30:00Z,4.5
2025-10-01T21:30:00Z,9596,11368,2025-10-01T16:30:00Z,5
2025-10-01T22:00:00Z,9695,11368,2025-10-01T16:30:00Z,5.5
2025-10-01T22:30:00Z,9708,11743,2025-10-01T16:30:00Z,6
2025-10-01T23:00:00Z,9514,11743,2025-10-01T16:30:00Z,6.5
2025-10-01T23:30:00Z,9220,11838,2025-10-01T19:30:00Z,4
2025-10-02T00:00:00Z,8997,11838,2025-10-01T19:30:00Z,4.5
2025-10-02T00:30:00Z,8923,11440,2025-10-01T19:30:00Z,5
2025-10-02T01:00:00Z,8619,11440,2025-10-01T19:30:00Z,5.5
2025-10-02T01:30:00Z,8404,11181,2025-10-01T19:30:00Z,6
2025-10-02T02:00:00Z,7982,11181,2025-10-01T19:30:00Z,6.5
2025-10-02T02:30:00Z,7414,10615,2025-10-01T19:30:00Z,7
2025-10-02T03:00:00Z,7499,10615,2025-10-01T19:30:00Z,7.5
2025-10-02T03:30:00Z,7441,9305,2025-10-01T23:30:00Z,4
2025-10-02T04:00:00Z,7305,9305,2025-10-01T23:30:00Z,4.5
2025-10-02T04:30:00Z,7429,8921,2025-10-01T23:30:00Z,5
2025-10-02T05:00:00Z,7549,8921,2025-10-01T23:30:00Z,5.5
2025-10-02T05:30:00Z,7355,8674,2025-10-01T23:30:00Z,6
2025-10-02T06:00:00Z,7449,8674,2025-10-01T23:30:00Z,6.5
2025-10-02T06:30:00Z,7293,8548,2025-10-01T23:30:00Z,7
2025-10-02T07:00:00Z,7118,8548,2025-10-01T23:30:00Z,7.5
2025-10-02T07:30:00Z,7142,8077,2025-10-02T03:30:00Z,4
2025-10-02T08:00:00Z,7404,8077,2025-10-02T03:30:00Z,4.5
2025-10-02T08:30:00Z,7876,8325,2025-10-02T03:30:00Z,5
2025-10-02T09:00:00Z,8152,8325,2025-10-02T03:30:00Z,5.5
2025-10-02T09:30:00Z,8849,9239,2025-10-02T05:30:00Z,4
2025-10-02T10:00:00Z,9501,9239,2025-10-02T05:30:00Z,4.5
2025-10-02T10:30:00Z,10084,9886,2025-10-02T05:30:00Z,5
2025-10-02T11:00:00Z,10549,9886,2025-10-02T05:30:00Z,5.5
2025-10-02T11:30:00Z,11061,10264,2025-10-02T05:30:00Z,6
2025-10-02T12:00:00Z,11096,10264,2025-10-02T05:30:00Z,6.5
2025-10-02T12:30:00Z,10980,11869,2025-10-02T08:30:00Z,4
2025-10-02T13:00:00Z,10847,11869,2025-10-02T08:30:00Z,4.5
2025-10-02T13:30:00Z,11273,12782,2025-10-02T08:30:00Z,5
2025-10-02T14:00:00Z,11174,12782,2025-10-02T08:30:00Z,5.5
2025-10-02T14:30:00Z,11523,14611,2025-10-02T10:30:00Z,4
2025-10-02T15:00:00Z,11822,14611,2025-10-02T10:30:00Z,4.5
2025-10-02T15:30:00Z,12042,16232,2025-10-02T10:30:00Z,5
2025-10-02T16:00:00Z,12325,16232,2025-10-02T10:30:00Z,5.5
2025-10-02T16:30:00Z,12735,17359,2025-10-02T12:30:00Z,4
2025-10-02T17:00:00Z,13108,17359,2025-10-02T12:30:00Z,4.5
2025-10-02T17:30:00Z,13539,18175,2025-10-02T12:30:00Z,5
2025-10-02T18:00:00Z,13984,18175,2025-10-02T12:30:00Z,5.5
2025-10-02T18:30:00Z,14437,18767,2025-10-02T12:30:00Z,6
2025-10-02T19:00:00Z,14633,18767,2025-10-02T12:30:00Z,6.5
2025-10-02T19:30:00Z,14460,19280,2025-10-02T12:30:00Z,7
2025-10-02T20:00:00Z,14560,19280,2025-10-02T12:30:00Z,7.5
2025-10-02T20:30:00Z,14638,20549,2025-10-02T16:30:00Z,4
2025-10-02T21:00:00Z,14673,20549,2025-10-02T16:30:00Z,4.5
2025-10-02T21:30:00Z,14664,20784,2025-10-02T16:30:00Z,5
2025-10-02T22:00:00Z,14636,20784,2025-10-02T16:30:00Z,5.5
2025-10-02T22:30:00Z,14707,20491,2025-10-02T16:30:00Z,6
2025-10-02T23:00:00Z,14732,20491,2025-10-02T16:30:00Z,6.5
2025-10-02T23:30:00Z,14845,19950,2025-10-02T19:30:00Z,4
2025-10-03T00:00:00Z,14758,19950,2025-10-02T19:30:00Z,4.5
2025-10-03T00:30:00Z,14343,19412,2025-10-02T19:30:00Z,5
2025-10-03T01:00:00Z,14053,19412,2025-10-02T19:30:00Z,5.5
2025-10-03T01:30:00Z,14124,18976,2025-10-02T19:30:00Z,6
2025-10-03T02:00:00Z,14156,18976,2025-10-02T19:30:00Z,6.5
2025-10-03T02:30:00Z,13752,18228,2025-10-02T19:30:00Z,7
2025-10-03T03:00:00Z,13524,18228,2025-10-02T19:30:00Z,7.5
2025-10-03T03:30:00Z,12984,16659,2025-10-02T23:30:00Z,4
2025-10-03T04:00:00Z,12388,16659,2025-10-02T23:30:00Z,4.5
2025-10-03T04:30:00Z,12309,16023,2025-10-02T23:30:00Z,5
2025-10-03T05:00:00Z,12699,16023,2025-10-02T23:30:00Z,5.5
2025-10-03T05:30:00Z,12581,15454,2025-10-02T23:30:00Z,6
2025-10-03T06:00:00Z,11946,15454,2025-10-02T23:30:00Z,6.5
2025-10-03T06:30:00Z,11795,14923,2025-10-02T23:30:00Z,7
2025-10-03T07:00:00Z,11666,14923,2025-10-02T23:30:00Z,7.5
2025-10-03T07:30:00Z,11615,13587,2025-10-03T03:30:00Z,4
2025-10-03T08:00:00Z,11748,13587,2025-10-03T03:30:00Z,4.5
2025-10-03T08:30:00Z,12337,13397,2025-10-03T03:30:00Z,5
2025-10-03T09:00:00Z,13282,13397,2025-10-03T03:30:00Z,5.5
2025-10-03T09:30:00Z,13378,14347,2025-10-03T05:30:00Z,4
2025-10-03T10:00:00Z,14119,14347,2025-10-03T05:30:00Z,4.5
2025-10-03T10:30:00Z,14539,15160,2025-10-03T05:30:00Z,5
2025-10-03T11:00:00Z,14770,15160,2025-10-03T05:30:00Z,5.5
2025-10-03T11:30:00Z,14414,16537,2025-10-03T05:30:00Z,6
2025-10-03T12:00:00Z,14557,16537,2025-10-03T05:30:00Z,6.5
2025-10-03T12:30:00Z,14387,18728,2025-10-03T08:30:00Z,4
2025-10-03T13:00:00Z,14346,18728,2025-10-03T08:30:00Z,4.5
2025-10-03T13:30:00Z,14320,19806,2025-10-03T08:30:00Z,5
2025-10-03T14:00:00Z,14186,19806,2025-10-03T08:30:00Z,5.5
2025-10-03T14:30:00Z,14607,20349,2025-10-03T10:30:00Z,4
2025-10-03T15:00:00Z,14787,20349,2025-10-03T10:30:00Z,4.5
2025-10-03T15:30:00Z,14767,20036,2025-10-03T10:30:00Z,5
2025-10-03T16:00:00Z,14591,20036,2025-10-03T10:30:00Z,5.5
2025-10-03T16:30:00Z,13929,18260,2025-10-03T12:30:00Z,4
2025-10-03T17:00:00Z,13648,18260,2025-10-03T12:30:00Z,4.5
2025-10-03T17:30:00Z,14137,17466,2025-10-03T12:30:00Z,5
2025-10-03T18:00:00Z,14274,17466,2025-10-03T12:30:00Z,5.5
2025-10-03T18:30:00Z,14659,17777,2025-10-03T12:30:00Z,6
2025-10-03T19:00:00Z,14397,17777,2025-10-03T12:30:00Z,6.5
2025-10-03T19:30:00Z,14097,17521,2025-10-03T12:30:00Z,7
2025-10-03T20:00:00Z,14589,17521,2025-10-03T12:30:00Z,7.5
2025-10-03T20:30:00Z,14881,15134,2025-10-03T16:30:00Z,4
2025-10-03T21:00:00Z,14703,15134,2025-10-03T16:30:00Z,4.5
2025-10-03T21:30:00Z,14254,15161,2025-10-03T16:30:00Z,5
2025-10-03T22:00:00Z,14019,15161,2025-10-03T16:30:00Z,5.5
2025-10-03T22:30:00Z,13721,15639,2025-10-03T16:30:00Z,6
2025-10-03T23:00:00Z,12972,15639,2025-10-03T16:30:00Z,6.5
2025-10-03T23:30:00Z,12358,15441,2025-10-03T19:30:00Z,4
2025-10-04T00:00:00Z,11634,15441,2025-10-03T19:30:00Z,4.5
2025-10-04T00:30:00Z,11704,16055,2025-10-03T19:30:00Z,5
2025-10-04T01:00:00Z,11822,16055,2025-10-03T19:30:00Z,5.5
2025-10-04T01:30:00Z,11945,17115,2025-10-03T19:30:00Z,6
2025-10-04T02:00:00Z,12162,17115,2025-10-03T19:30:00Z,6.5
2025-10-04T02:30:00Z,12270,18431,2025-10-03T19:30:00Z,7
2025-10-04T03:00:00Z,12526,18431,2025-10-03T19:30:00Z,7.5
2025-10-04T03:30:00Z,12436,19707,2025-10-03T23:30:00Z,4
2025-10-04T04:00:00Z,11968,19707,2025-10-03T23:30:00Z,4.5
2025-10-04T04:30:00Z,12077,20188,2025-10-03T23:30:00Z,5
2025-10-04T05:00:00Z,12138,20188,2025-10-03T23:30:00Z,5.5
2025-10-04T05:30:00Z,13101,20537,2025-10-03T23:30:00Z,6
2025-10-04T06:00:00Z,13647,20537,2025-10-03T23:30:00Z,6.5
2025-10-04T06:30:00Z,13339,20552,2025-10-03T23:30:00Z,7
2025-10-04T07:00:00Z,13325,20552,2025-10-03T23:30:00Z,7.5
